영화코드,영화명(국문),상영시간,장르,감독,배우1,배우2,배우3,참여 영화사1,참여 영화사2
20158981,하나와 앨리스: 살인사건,98.0,애니메이션,이와이 슌지,아오이 유우,스즈키 안,없음,(주)씨제이이엔엠,(주)씨제이이엔엠
20159101,써드 퍼슨 - 감독판,121.0,드라마,폴 해기스,리암 니슨,밀라 쿠니스,애드리언 브로디,(주)프레인글로벌,(주)에이블엔터테인먼트
20149266,차이나타운,109.0,범죄,한준희,김혜수,김고은,엄태구,폴룩스픽쳐스(주),CGV아트하우스
20158670,위아영,97.0,코미디,노아 바움백,벤 스틸러,나오미 왓츠,아만다 사이프리드,(주)브리즈픽처스,(주)영화사오원
20100211,다이노 타임,85.0,애니메이션,최윤석,멜라니 그리피스,제인 린치,윌리엄 볼드윈,주식회사 토이온,(주)씨제이이엔엠
20145042,스틸 앨리스,101.0,드라마,리처드 글랫저,줄리안 무어,알렉 볼드윈,크리스틴 스튜어트,그린나래미디어(주),그린나래미디어(주)
20071066,말할 수 없는 비밀,101.0,멜로/로맨스,주걸륜,주걸륜,계륜미,황추생,(주)엔케이컨텐츠,(주)디스테이션
20140703,장수상회,112.0,멜로/로맨스,강제규,박해빛나,박근형,윤여정,(주)빅픽쳐,(주)씨제이이엔엠
20158703,트래쉬,113.0,어드벤처,스티븐 달드리,루니 마라,마틴 쉰,릭슨 테베즈,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
20149062,연애의 맛,101.0,멜로/로맨스,김아론,오지호,주병하,최령,(주)청우필름,(주)와우픽쳐스
20143512,위험한 상견례 2,118.0,멜로/로맨스,김진영,진세연,홍종현,신정근,(주)전망좋은 영화사,TCO(주)더콘텐츠온
20158704,언프렌디드: 친구삭제,82.0,공포(호러),레오 가브리아제,샐리 헤닝,모세 제이콥 스톰,윌 펠츠,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
20158069,노아의 방주: 남겨진 녀석들,86.0,애니메이션,토비 젠켈,김하영,배진홍,윤세웅,씨네그루(주)다우기술,(주)스마일이엔티
20158561,기생수 파트2,117.0,SF,야마자키 타카시,소메타니 쇼타,아베 사다오,후카츠 에리,판씨네마(주),판씨네마(주)
20158428,빌리와 용감한 녀석들 3,80.0,애니메이션,척 파워스,엄상현,조현정,없음,롯데쇼핑㈜롯데엔터테인먼트,㈜코리아스크린
20143580,분노의 질주: 더 세븐,137.0,액션,제임스 완,빈 디젤,폴 워커,드웨인 존슨,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
20158461,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,96.0,애니메이션,타카하시 와타루,없음,없음,없음,(주)이수C&E,대원미디어(주)
20141962,이미테이션 게임,114.0,드라마,모튼 틸덤,베네딕트 컴버배치,키이라 나이틀리,매튜 구드,메가박스중앙(주)플러스엠,(주)미디어로그
20156321,약장수,104.0,드라마,조치언,김인권,박철민,이주실,(주)26컴퍼니,(주)대명문화공장
20148845,스물,115.0,코미디,이병헌,김우빈,이준호,강하늘,(주)영화나무,(주)아이에이치큐
20157021,"땡큐, 대디",89.0,드라마,닐스 타베니어,자크 검블린,알렉산드라 라미,없음,(주)영화사 빅,(주)영화사 빅
20147947,워킹걸,111.0,코미디,정범식,조여정,클라라,김태우,(주)홍필름,(주)수필름
20140110,킹스맨 : 시크릿 에이전트,128.0,액션,매튜 본,콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,이십세기폭스코리아(주),이십세기폭스코리아(주)
20145141,위플래쉬,106.0,드라마,데이미언 셔젤,마일즈 텔러,J.K. 시몬스,없음,워터홀컴퍼니(주),(주)쇼박스
20157782,신은 죽지 않았다,112.0,드라마,해롤드 크론크,쉐인 하퍼,케빈 소르보,트리샤 라파체,주식회사 마운틴픽쳐스,(주)에스와이코마드
20133682,화장,93.0,드라마,임권택,안성기,김규리,김호정,(주)명필름,(주)리틀빅픽쳐스
20157904,더 건맨,115.0,액션,피에르 모렐,숀 펜,하비에르 바르뎀,이드리스 엘바,롯데쇼핑㈜롯데엔터테인먼트,(유)조이앤컨텐츠그룹
20158841,타이거 마운틴,142.0,전쟁,서극,양가휘,장한위,없음,(주)누리픽쳐스,(주)누리픽쳐스
20156977,위자,89.0,미스터리,스틸즈 화이트,올리비아 쿡,더글라스 스미스,없음,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
20158091,유고와 라라: 하늘고래와 구름섬 대모험,79.0,애니메이션,왕운비,이재현,박리나,홍진욱,와이드 릴리즈(주),(주)타임스토리그룹
20156841,신데렐라,113.0,멜로/로맨스,케네스 브래너,릴리 제임스,리처드 매든,케이트 블란쳇,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주)
20157986,검은손,95.0,공포(호러),박재식,김성수,한고은,배그린,골든타이드픽처스(주),(주)스톰픽쳐스코리아
20142884,엘리노어 릭비: 그 남자 그 여자,122.0,드라마,네드 벤슨,제임스 맥어보이,제시카 차스테인,이자벨 위페르,(주)이수C&E,(주)드림웨스트픽쳐스
20141085,한 번 더 해피엔딩,106.0,멜로/로맨스,마크 로렌스,휴 그랜트,마리사 토메이,앨리슨 제니,(주)팝엔터테인먼트,주식회사 더쿱
20145281,코블러,96.0,판타지,토마스 맥카시,아담 샌들러,더스틴 호프만,스티브 부세미,씨네그루(주)다우기술,(주)에이블엔터테인먼트
20158643,뱀파이어 아카데미,104.0,액션,마크 워터스,조이 도이치,루시 프라이,다닐라 코즈로브스키,(주)누리픽쳐스,(주)누리픽쳐스
20157121,송 원,88.0,드라마,케이트 베커-플로이랜드,앤 해서웨이,자니 플린,없음,(주)박수엔터테인먼트,(주)박수엔터테인먼트
20144461,인서전트,119.0,SF,로베르트 슈벤트케,쉐일린 우들리,테오 제임스,케이트 윈슬렛,롯데쇼핑㈜롯데엔터테인먼트,(유)조이앤컨텐츠그룹
20157394,팔로우,99.0,공포(호러),데이빗 로버트 밋첼,마이카 먼로,키어 길크리스,다니엘 조바토,(주)영화사오원,(주)브리즈픽처스
20157587,파울볼,86.0,다큐멘터리,조정래,김성근,조진웅,박지은,(주)티피에스컴퍼니,오퍼스픽쳐스(유)
20157584,윈드랜드,81.0,애니메이션,세르지오 맨피오,김경희,탁원정,권문정,예지림엔터테인먼트,예지림엔터테인먼트
20158504,맛있는 택배,83.0,멜로/로맨스,기대호,송기준,윤원선,이성민,(주)로드하우스,노바엔터테인먼트 
20157041,런 올 나이트,115.0,액션,자움 콜렛 세라,리암 니슨,조엘 킨나만,에드 해리스,워너브러더스 코리아(주),워너브러더스 코리아(주)
20148461,살인의뢰,102.0,범죄,손용호,김상경,김성균,박성웅,(주)미인픽쳐스,씨네그루(주)다우기술
20148841,헬머니,108.0,코미디,신한솔,김수미,정만식,김정태,(주)전망좋은 영화사,TCO(주)더콘텐츠온
20157421,뷰티풀 라이,110.0,드라마,필리프 팔라도,리즈 위더스푼,아놀드 오셍,게르 두아니,(주)씨제이이엔엠,(주)씨제이이엔엠
20156402,채피,120.0,액션,닐 블롬캠프,휴 잭맨,샬토 코플리,시고니 위버,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
20158082,투캅스 인 파리,94.0,액션,다비드 샤혼,오마 사이,로랑 라피트,없음,노바엔터테인먼트 ,페어팍스인터내셔날(주)
20156704,드래곤 블레이드,127.0,액션,이인항,성룡,존 쿠삭,애드리언 브로디,롯데쇼핑㈜롯데엔터테인먼트,(유)조이앤컨텐츠그룹
20133681,태양을 쏴라,86.0,멜로/로맨스,김태식,강지환,윤진서,박정민,필름라인,(유)조이앤시네마
20141602,소셜포비아,102.0,스릴러,홍석재,변요한,이주승,하윤경,한국영화아카데미,CGV아트하우스
20156904,추억의 마니,102.0,애니메이션,요네바야시 히로마사,없음,없음,없음,(주)이수C&E,대원미디어(주)
20157001,트레이서,93.0,액션,다니엘 벤마요,테일러 로트너,마리 아브게로폴로스,없음,(주)영화사오원,(주)브리즈픽처스
20136063,순수의 시대,113.0,사극,안상훈,신하균,장혁,강한나,(주)화인웍스,(주)키메이커
20144801,버드맨,119.0,코미디,알레한드로 곤잘레스 이냐리투,마이클 키튼,에드워드 노튼,엠마 스톤,이십세기폭스코리아(주),이십세기폭스코리아(주)
20149570,조선명탐정 : 사라진 놉의 딸,124.0,사극,김석윤,김명민,오달수,이연희,청년필름(주),(주)쇼박스
20145085,세인트 빈센트,101.0,코미디,데오도르 멜피,빌 머레이,나오미 왓츠,멜리사 맥카시,(주)영화사 빅,(주)메인타이틀픽쳐스
20147613,그레이의 50가지 그림자,125.0,드라마,샘 테일러-존슨,제이미 도넌,다코타 존슨,제니퍼 엘,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
20144621,기생수 파트1,109.0,스릴러,야마자키 타카시,소메타니 쇼타,후카츠 에리,하시모토 아이,판씨네마(주),판씨네마(주)
20156161,백 투 더 비기닝,106.0,SF,딘 이스라엘리트,조니 웨스턴,소피아 블랙 디엘리아,샘 러너,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트
20145102,포커스,104.0,코미디,글렌 피카라,윌 스미스,마고 로비,로드리고 산토로,워너브러더스 코리아(주),워너브러더스 코리아(주)
20145103,나이트 크롤러,118.0,범죄,댄 길로이,제이크 질렌할,빌 팩스톤,없음,(주)스톰픽쳐스코리아,(주)누리픽쳐스
20148188,쎄시봉,122.0,멜로/로맨스,김현석,김윤석,정우,한효주,유한회사 제이필름,(주)무브픽쳐스
20149401,스폰지밥 3D,92.0,애니메이션,폴 티비트,안토니오 반데라스,클랜시 브라운,톰 케니,(주)씨제이이엔엠,(주)씨제이이엔엠
20144322,도라에몽 : 스탠 바이 미,94.0,애니메이션,야마자키 타카시,미즈타 와사비,오오하라 메구미,없음,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW)
20149951,빅 히어로,107.0,애니메이션,돈 홀,라이언 포터,스콧 애짓,다니엘 헤니,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주)
20155881,오즈의 마법사: 돌아온 도로시,91.0,애니메이션,윌 핀,레아 미셸,패트릭 스튜어트,휴 댄시,(주)박수엔터테인먼트,㈜코리아스크린
20155761,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,91.0,애니메이션,야마모토 야스이치로,없음,없음,없음,(주)씨제이이엔엠,(주)씨제이이엔엠
20145242,모데카이,106.0,액션,데이빗 코엡,조니 뎁,기네스 팰트로우,이완 맥그리거,(주)나이너스엔터테인먼트,(주)나이너스엔터테인먼트
20142561,7번째 아들,102.0,어드벤처,세르게이 보드로프,제프 브리지스,줄리안 무어,벤 반스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
20136888,강남 1970,135.0,액션,유하,이민호,김래원,정진영,(주)모베라픽처스,(주)쇼박스
20156441,최강전사 미니특공대 : 새로운 악당의 습격,61.0,애니메이션,이영준,엄상현,전태열,신용우,(주)삼지애니메이션,에이원엔터테인먼트
20020168,센과 치히로의 행방불명,126.0,애니메이션,미야자키 하야오,이리노 미유,없음,없음,씨네그루(주)다우기술,대원미디어(주)
20149037,주피터 어센딩,127.0,SF,라나 워쇼스키,밀라 쿠니스,채닝 테이텀,숀 빈,워너브러더스 코리아(주),워너브러더스 코리아(주)
20148553,내 심장을 쏴라,101.0,드라마,문제용,이민기,여진구,유오성,(주)주피터필름,(주)리틀빅픽쳐스
20142407,오늘의 연애,118.0,멜로/로맨스,박진표,이승기,문채원,이서진,(주)팝콘에프앤엠,(주)씨제이이엔엠
20143754,아메리칸 스나이퍼,132.0,액션,클린트 이스트우드,브래들리 쿠퍼,시에나 밀러,없음,워너브러더스 코리아(주),워너브러더스 코리아(주)
20155601,바다 탐험대 옥토넛 스페셜,70.0,애니메이션,니키 팰런,하성용,정재헌,엄상현,와이드 릴리즈(주),얼리버드
20144507,빅 아이즈,105.0,드라마,팀 버튼,에이미 아담스,크리스토프 왈츠,없음,판씨네마(주),판씨네마(주)
